using 1:2
0 -0.413691
0.363636 -0.41366
0.727273 -0.413568
1.09091 -0.413415
1.45455 -0.413201
1.81818 -0.412929
2.18182 -0.412599
2.54545 -0.412214
2.90909 -0.411774
3.27273 -0.411283
3.63636 -0.410743
4 -0.410155
4.36364 -0.409523
4.72727 -0.408848
5.09091 -0.408133
5.45455 -0.407381
5.81818 -0.406593
6.18182 -0.405772
6.54545 -0.40492
6.90909 -0.40404
7.27273 -0.403131
7.63636 -0.402198
8 -0.40124
8.36364 -0.400261
8.72727 -0.39926
9.09091 -0.398239
9.45455 -0.3972
9.81818 -0.396143
10.1818 -0.39507
10.5455 -0.39398
10.9091 -0.392876
11.2727 -0.391756
11.6364 -0.390623
12 -0.389477
12.3636 -0.388317
12.7273 -0.387144
13.0909 -0.385959
13.4545 -0.384762
13.8182 -0.383552
14.1818 -0.382331
14.5455 -0.381097
14.9091 -0.379852
15.2727 -0.378595
15.6364 -0.377326
16 -0.376045
16.3636 -0.374751
16.7273 -0.373446
17.0909 -0.372128
17.4545 -0.370798
17.8182 -0.369455
18.1818 -0.3681
18.5455 -0.366731
18.9091 -0.365348
19.2727 -0.363952
19.6364 -0.362542
20 -0.361118
20.3636 -0.359679
20.7273 -0.358224
21.0909 -0.356755
21.4545 -0.355269
21.8182 -0.353768
22.1818 -0.352249
22.5455 -0.350714
22.9091 -0.34916
23.2727 -0.347589
23.6364 -0.345999
24 -0.344389
24.3636 -0.34276
24.7273 -0.34111
25.0909 -0.339439
25.4545 -0.337747
25.8182 -0.336032
26.1818 -0.334293
26.5455 -0.332531
26.9091 -0.330744
27.2727 -0.328931
27.6364 -0.327092
28 -0.325226
28.3636 -0.323331
28.7273 -0.321406
29.0909 -0.319452
29.4545 -0.317465
29.8182 -0.315446
30.1818 -0.313393
30.5455 -0.311304
30.9091 -0.309179
31.2727 -0.307015
31.6364 -0.304812
32 -0.302567
32.3636 -0.300279
32.7273 -0.297946
33.0909 -0.295566
33.4545 -0.293137
33.8182 -0.290656
34.1818 -0.288122
34.5455 -0.285531
34.9091 -0.282881
35.2727 -0.280168
35.6364 -0.277391
36 -0.274545
36.3636 -0.271626
36.7273 -0.268631
37.0909 -0.265555
37.4545 -0.262394
37.8182 -0.259142
38.1818 -0.255794
38.5455 -0.252343
38.9091 -0.248784
39.2727 -0.245108
39.6364 -0.241308
40 -0.237375
40.3636 -0.233297
40.7273 -0.229066
41.0909 -0.224667
41.4545 -0.220087
41.8182 -0.215309
42.1818 -0.210316
42.5455 -0.205088
42.9091 -0.199599
43.2727 -0.193822
43.6364 -0.187726
44 -0.181272
44.3636 -0.174415
44.7273 -0.1671
45.0909 -0.159261
45.4545 -0.150816
45.8182 -0.141663
46.1818 -0.13167
46.5455 -0.120666
46.9091 -0.108419
47.2727 -0.0946096
47.6364 -0.0787708
48 -0.0601868
48.3636 -0.037668
48.7273 -0.0089872
49.0909 0.0309794
49.4545 0.101823
49.8182 0.160067
50.1818 0.160067
50.5455 0.101823
50.9091 0.0309794
51.2727 -0.0089872
51.6364 -0.037668
52 -0.0601868
52.3636 -0.0787708
52.7273 -0.0946096
53.0909 -0.108419
53.4545 -0.120666
53.8182 -0.13167
54.1818 -0.141663
54.5455 -0.150816
54.9091 -0.159261
55.2727 -0.1671
55.6364 -0.174415
56 -0.181272
56.3636 -0.187726
56.7273 -0.193822
57.0909 -0.199599
57.4545 -0.205088
57.8182 -0.210316
58.1818 -0.215309
58.5455 -0.220087
58.9091 -0.224667
59.2727 -0.229066
59.6364 -0.233297
60 -0.237375
60.3636 -0.241308
60.7273 -0.245108
61.0909 -0.248784
61.4545 -0.252343
61.8182 -0.255794
62.1818 -0.259142
62.5455 -0.262394
62.9091 -0.265555
63.2727 -0.268631
63.6364 -0.271626
64 -0.274545
64.3636 -0.277391
64.7273 -0.280168
65.0909 -0.282881
65.4545 -0.285531
65.8182 -0.288122
66.1818 -0.290656
66.5455 -0.293137
66.9091 -0.295566
67.2727 -0.297946
67.6364 -0.300279
68 -0.302567
68.3636 -0.304812
68.7273 -0.307015
69.0909 -0.309179
69.4545 -0.311304
69.8182 -0.313393
70.1818 -0.315446
70.5455 -0.317465
70.9091 -0.319452
71.2727 -0.321406
71.6364 -0.323331
72 -0.325226
72.3636 -0.327092
72.7273 -0.328931
73.0909 -0.330744
73.4545 -0.332531
73.8182 -0.334293
74.1818 -0.336032
74.5455 -0.337747
74.9091 -0.339439
75.2727 -0.34111
75.6364 -0.34276
76 -0.344389
76.3636 -0.345999
76.7273 -0.347589
77.0909 -0.34916
77.4545 -0.350714
77.8182 -0.352249
78.1818 -0.353768
78.5455 -0.355269
78.9091 -0.356755
79.2727 -0.358224
79.6364 -0.359679
80 -0.361118
80.3636 -0.362542
80.7273 -0.363952
81.0909 -0.365348
81.4545 -0.366731
81.8182 -0.3681
82.1818 -0.369455
82.5455 -0.370798
82.9091 -0.372128
83.2727 -0.373446
83.6364 -0.374751
84 -0.376045
84.3636 -0.377326
84.7273 -0.378595
85.0909 -0.379852
85.4545 -0.381097
85.8182 -0.382331
86.1818 -0.383552
86.5455 -0.384762
86.9091 -0.385959
87.2727 -0.387144
87.6364 -0.388317
88 -0.389477
88.3636 -0.390623
88.7273 -0.391756
89.0909 -0.392876
89.4545 -0.39398
89.8182 -0.39507
90.1818 -0.396143
90.5455 -0.3972
90.9091 -0.398239
91.2727 -0.39926
91.6364 -0.400261
92 -0.40124
92.3636 -0.402198
92.7273 -0.403131
93.0909 -0.40404
93.4545 -0.40492
93.8182 -0.405772
94.1818 -0.406593
94.5455 -0.407381
94.9091 -0.408133
95.2727 -0.408848
95.6364 -0.409523
96 -0.410155
96.3636 -0.410743
96.7273 -0.411283
97.0909 -0.411774
97.4545 -0.412214
97.8182 -0.412599
98.1818 -0.412929
98.5455 -0.413201
98.9091 -0.413415
99.2727 -0.413568
